instance_seed,method,depth,qaoa_seed,jobs,nodes,penalty,f_opt,best_expectation,final_expectation,num_evaluations,restarts,maxiter,runtime_qaoa_s,optimizer,selected_objective,selection_rule,approx_ratio_selected,approx_ratio_mean_feasible,p_feasible,p_infeasible,p_optimal,best_feasible_objective,mean_feasible_objective,mean_objective_all,std_objective_all,most_likely_objective,most_likely_feasible,selected_overload,expectation_value,total_runtime_s,greedy_objective,greedy_overload,random_best_objective,random_mean_objective,random_p_optimal,sa_objective,sa_runtime_s
0,xy,3,1,6,3,,1.1895544941475333,2758.3257011567703,2758.3257011567703,57,1,150,26.90049899999576,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004312596201560494,1.0,0.0,0.004466134288998341,1.1895544941475333,2758.3257011567607,2758.325701156761,2417.0865723281395,2875.441429588105,True,0.0,2758.325701156772,31.185665199998766,,,,,,,
0,soft,3,1,6,3,1e-06,1.1895544941475333,4411.795678408778,4411.795678408778,49,1,150,40.1462670999972,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0005176772776665766,0.0029000578266338223,0.9970999421733662,7.783695366624126e-06,1.1895544941475333,2297.8688566541578,4411.795672644317,3289.148387190824,2271.9193960818648,False,0.0,4411.7956784087555,45.52958860000217,,,,,,,
0,xy,1,2,6,3,,1.1895544941475333,2713.222806256296,2713.222806256296,29,1,150,7.426972100001876,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004384286065282208,1.0,0.0,6.346804417096861e-05,1.1895544941475333,2713.2228062562885,2713.2228062562876,2400.124531181791,599.2281667361615,True,0.0,2713.2228062562963,19.04192519999924,,,,,,,
0,soft,1,2,6,3,1e-06,1.1895544941475333,4340.670131632844,4340.670131632844,25,1,150,4.682446799997706,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004611166423241261,0.0028229726060339604,0.9971770273939661,3.3817396874893184e-05,1.1895544941475333,2579.7257894486856,4340.670125968324,3303.0168618944954,314.9844210422264,False,0.0,4340.670131632818,16.256542400005856,,,,,,,
0,xy,2,2,6,3,,1.1895544941475333,2870.532932052041,2870.532932052041,42,1,150,20.235611200005224,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.00041440196726716036,1.0,0.0,0.0036670221633003574,1.1895544941475333,2870.532932052035,2870.5329320520364,2555.5369486538875,6110.231448923171,True,0.0,2870.532932052044,24.87160969999968,,,,,,,
0,soft,2,2,6,3,1e-06,1.1895544941475333,4058.7708115176265,4058.7708115176265,36,1,150,12.04451159999735,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.00047812561447378076,0.004328740882349524,0.9956712591176504,4.892126233901515e-07,1.1895544941475333,2487.953914489067,4058.7708062442216,3049.2339644071053,756.88557810736,False,0.0,4058.7708115176024,19.908843300006993,,,,,,,
0,xy,3,2,6,3,,1.1895544941475333,2826.4478407536303,2826.4478407536303,50,1,150,24.06368510000175,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004208655390684108,0.999999999999992,7.993605777301127e-15,0.0010724171052647704,1.1895544941475333,2826.4478407536562,2826.4478407536562,2471.250512667074,1108.3276385433583,True,0.0,2826.4478407536335,32.02694459999475,,,,,,,
0,soft,3,2,6,3,1e-06,1.1895544941475333,4028.39940178308,4028.39940178308,55,1,150,30.257155400002375,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0005150622887956953,0.0030282627277605284,0.9969717372722394,3.596378093476639e-06,1.1895544941475333,2309.535215495814,4028.3993960419675,3190.6464931695728,909.5395800856643,False,0.0,4028.399401783054,38.52736359999835,,,,,,,
1,xy,1,0,6,3,,1.6472820974226292,3420.373083683892,3420.373083683892,27,1,150,22.76523850000376,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.0004816088938603238,0.9999999999999978,2.220446049250313e-15,0.0013341562646499668,1.6472820974226292,3420.3730836839027,3420.3730836839027,2870.7882452871995,797.5213465167783,True,0.0,3420.3730836838945,24.337927799999306,7.145170747063613,1.0,1.6472820974226292,3749.761481838099,0.0013,4.555230684697233,0.32788040000014007
1,soft,1,0,6,3,0.2830519652673393,1.6472820974226292,6161.066055534147,6161.066055534147,32,1,150,9.993887900003756,COBYLA,1.6472820974226292,best-feasible-in-distribution,1.0,0.0003797494367091102,0.0032390259923013895,0.9967609740076986,3.8599693555876264e-08,1.6472820974226292,4337.813142523381,6159.336606150942,4418.325040497947,4062.65633036249,False,0.0,6161.066055534118,12.458657300005143,7.145170747063613,1.0,1.6472820974226292,3749.761481838099,0.0013,4.555230684697233,0.3822954000061145
